EXCHANGE%3DINDEXEURO
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=120
a1372748460,3769.14,3776.41,3769.14,3776.41,0
1,3767.34,3767.87,3767.04,3767.87,0
2,3765.92,3768.32,3765.92,3767.4,0
3,3767.83,3767.83,3763.45,3764.55,0
4,3772.19,3772.19,3771.48,3771.48,0
5,3770.15,3771.28,3770.15,3770.99,0
6,3768.88,3769.16,3768.82,3769.16,0
7,3768.49,3768.49,3766.23,3766.23,0
8,3765.96,3767.83,3765.68,3767.83,0
9,3764.6,3768.12,3764.6,3768.12,0
10,3761.84,3763.72,3761.84,3762.49,0
11,3757.37,3761.53,3757.37,3761.53,0
12,3755.58,3757.27,3754.4,3757.27,0
13,3757.54,3757.54,3755.41,3755.41,0
14,3756.38,3757.64,3756.38,3757.64,0
15,3753.54,3753.72,3753.37,3753.37,0
16,3754.84,3754.84,3754.07,3754.15,0
17,3756.33,3756.33,3754.79,3754.79,0
18,3759.23,3759.23,3756.89,3757.09,0
19,3760.71,3760.71,3759.44,3759.44,0
20,3758.18,3758.31,3754.97,3757.45,0
21,3755.56,3757.23,3755.04,3757.23,0
22,3758,3758,3755.93,3755.93,0
23,3758.78,3759.13,3758.42,3758.42,0
24,3759.61,3759.84,3757.85,3758.27,0
25,3757.57,3760.33,3757.57,3760.33,0
26,3756.6,3757.29,3756.19,3757.29,0
27,3756.16,3756.74,3756.1,3756.1,0
28,3754.22,3754.92,3753.36,3754.87,0
29,3755.86,3755.86,3754.7,3754.7,0
30,3755.55,3755.55,3754.39,3754.39,0
31,3760.17,3760.17,3755.54,3755.54,0
32,3758.58,3760.84,3758.31,3760.84,0
33,3757.9,3758.77,3757.9,3758.77,0
34,3758.35,3759.24,3758.09,3759.24,0
35,3757.91,3757.91,3757.63,3757.72,0
36,3759.64,3759.73,3758.86,3758.86,0
37,3761.75,3761.75,3760.09,3760.09,0
38,3763.25,3763.41,3762.89,3763.41,0
39,3762.3,3762.66,3761.65,3761.69,0
40,3761.99,3762.52,3761.94,3762.52,0
41,3761.87,3762.13,3761.66,3761.87,0
42,3761.09,3761.6,3760.83,3761.6,0
43,3761.07,3761.52,3761.07,3761.32,0
44,3760.33,3761.53,3759.9,3761.53,0
45,3758.51,3760.24,3758.51,3760.24,0
46,3754.38,3757.42,3754.26,3757.42,0
47,3757.58,3758.12,3755.24,3755.24,0
48,3756.35,3756.78,3755.73,3756.78,0
49,3755.4,3756.17,3755.4,3756.17,0
50,3754.94,3755.45,3754.51,3754.51,0
51,3753.71,3754.81,3753.71,3754.81,0
52,3751.72,3751.72,3750.53,3751.13,0
53,3748.22,3751.88,3748.22,3751.61,0
54,3746.17,3747.56,3746.17,3747.52,0
55,3744.22,3745.55,3743.84,3745.55,0
56,3743.36,3744.46,3743.36,3744.16,0
57,3740.31,3742.9,3740.31,3742.9,0
58,3739.75,3740.52,3739.75,3740.52,0
59,3738.21,3739.45,3737.79,3739.45,0
60,3733.45,3737.44,3733.45,3737.44,0
61,3734.74,3734.74,3733.58,3733.58,0
62,3735.42,3736.01,3735.41,3736.01,0
63,3736.4,3736.55,3735.25,3735.76,0
